,,*Liq. y B° en Bruto (antes de retenciones),,,,Fecha,14-07-2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proyectos,Fase,SL,Provincia,Municipio,Tipo Activo,Tipología,Canal,Partner,Formato de inversión,Contrato,Inv. Total. Est.,Invertido,FC Inicial,FC Final,B° Realizado,Est. B°,Fecha inicio,Fecha Fin,Est. Fin0,Retraso,Est. Fin1,% Ejecución,Est. TIR,Est. ROI,Meses,TIR,ROI,Link,Estado,Comentarios
Edificio Bétera 11 viv.,FASE 1,Inmoyield 1,Valencia,Bétera,Edificio,Flipping,Directo,J.Pascual & N.Blat,Deuda,Préstamo a tipo fijo,400.000 €,300.000 €,-300.000 €,,,75.000 €,16/12/2025,,2026-12,"-4,7",2026-12,"60,00%","25,00%","25,00%",12,,,ver,Invertido,Pago aplazado (100K) retrasado hasta máximo 22 de junio
San Lucas 5,FASE 1,Inmoyield 1,Madrid,Madrid,Edificio,Flipping,Plataforma,Velzia,Deuda,Préstamo Participativo,,583.360 €,-583.360 €,,120.000 €,0 €,22/10/2024,,2026-04,"3,5",2028-06,"47,80%","15,82%","23,72%",18,"15,82%","23,72%",,Invertido,"Cambiado por deuda Napala. Mantenemos 63.186,78 € en esta co-inversión."
"Jerónimo Zurita, 3",FASE 1,Inmoyield 1,Zaragoza,Zaragoza,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,107.225 €,-107.225 €,,,7.300 €,20/11/2025,,2026-05,"2,5",2026-09,"82,81%","12,00%","6,81%",5,"12,00%",,ver,Invertido,"10.06 Se ha ajustado el precio y se ha incrementado el numero de visitas de forma inmediata, la semana pasada se pasaron 3 visitas que les ha gustado y estamos pendiente de recibir alguna oferta de esas visitas."
Loeches 29 viviendas,FASE 1,Inmoyield 1,Madrid,Loeches,Vivienda,Obra nueva,Directo,Sagelliv,Deuda,Préstamo Participativo,,525.000 €,-525.000 €,,6.353 €,69.562 €,09/12/2025,,2026-08,"-0,6",2026-09,"81,58%","18,00%","13,25%",8,,,ver,Invertido,Todo vendido. Obra al 80%
Doctor Castelo,FASE 1,,Madrid,Madrid,Oficina,Flipping,Directo,Casas Unique,Cuenta en participación,Cuenta en participación,,487.027 €,-487.027 €,602.849 €,115.822 €,73.054 €,18/02/2025,27/10/2025,2025-07-,"12,6",,"-1,12%","35,00%","15,00%",8,"36,38%","23,78%",,Pasada,
Modesto Lafuente 10,FASE 1,Inmoyield 1,Madrid,Madrid,Vivienda,Flipping,Plataforma,Domoblock,Deuda,Préstamo Participativo,,300.000 €,-300.000 €,,,28.980 €,20/05/2025,,2026-01,"6,5",2026-09,"89,55%","15,00%","9,66%",8,"15,00%","9,66%",ver,Invertido,"Clausula activada para tipo fijo del 14 desde Mayo. Se ha bajado el precio de forma agresiva, y una de las visitas que recibimos la semana pasada está muy interesada, estamos negociando, el interesado quiere vender su piso actual y estamos valorando opciones con el, para ayudarle a encajar de alguna manera de la operación y que salgamos todos beneficiados."
Edif. 4 viv. Toledo,CACI,,,Toledo,Edificio,Flipping,Directo,Sultan,Cuenta en participación,Cuenta en participación,,400.000 €,,,,,,,6,"1.540,4",,,"40,00%","19,00%",,,,,En Estudio,
Edif. Mejorada,CACI,,,Toledo,Edificio,Flipping,Directo,Sultan,Cuenta en participación,Cuenta en participación,,1.000.000 €,,,,,,,6,"1.540,4",,,"80,00%","40,00%",,,,,En Estudio,
Edif. Pantoja (Fase I),FASE 1,,Toledo,Toledo,Edificio,NPL,Directo,Sultan,Deuda,Préstamo a tipo fijo,,150.000 €,-150.000 €,184.303 €,34.303 €,37.500 €,19/03/2025,07/11/2025,2026-06,"1,4",,"-1,05%","25,00%","25,00%",8,"38,07%","22,87%",ver,Pasada,
Onda,FASE 1,Inmoyield 1,Castellón,Onda,WIP,WIP,Directo,Vibex,Deuda,Préstamo a tipo fijo,,1.000.000 €,-1.000.000 €,,140.000 €,218.000 €,27/05/2025,,2026-03,"4,5",2026-07,"103,25%","16,00%","15,00%",9,"16,00%","15,00%",ver,Invertido,"29.06 ya presentado CFO tanto del edificio como de la piscina por DR, esperamos que nos lo acepete el banco para poder quitar las cargas de las viviendas que van al contado"
